key,English/reference,한국어,日本語,français (France),português (Brasil),review_type,human_reviewer,human_notes
What's your Scoor?,What's your Scoor?,오늘의 Scoor는?,今日のScoorは何点？,Quel est votre Scoor ?,Qual é o seu Scoor?,AI linguistic pass; human review pending,,
World,World,월드,ワールド,Monde,Mundo,AI linguistic pass; human review pending,,
WORLD AVERAGE,WORLD AVERAGE,월드 평균,世界の平均,MOYENNE MONDIALE,MÉDIA MUNDIAL,AI linguistic pass; human review pending,,
World Map,World Map,세계 지도,世界地図,Carte du monde,Mapa do mundo,AI linguistic pass; human review pending,,
WORLD PULSE,WORLD PULSE,월드 펄스,世界の気分,HUMEUR DU MONDE,HUMOR DO MUNDO,AI linguistic pass; human review pending,,
World에서 이슈에 점수를 매기면 여기에 모여요,Score issues in World and they'll gather here,World에서 이슈에 점수를 매기면 여기에 모여요,ワールドでつけたスコアがここに表示されます,Les sujets que vous notez dans Monde apparaîtront ici,Os assuntos que você avaliar em Mundo vão aparecer aqui,AI linguistic pass; human review pending,,
You're holding a calm rhythm,You're holding a calm rhythm,차분한 리듬을 유지 중이에요,最近は落ち着いたスコアが続いています,Vos scores sont plutôt stables,Suas notas estão estáveis,AI linguistic pass; human review pending,,
Your average this month: %lld,Your average this month: %lld,이번 달 평균 %lld점,今月の平均：%lld点,Votre moyenne du mois : %lld,Sua média do mês: %lld,AI linguistic pass; human review pending,,
Your average this week: %lld,Your average this week: %lld,이번 주 평균 %lld점,今週の平均：%lld点,Votre moyenne de la semaine : %lld,Sua média da semana: %lld,AI linguistic pass; human review pending,,
Your brightest day so far: %lld,Your brightest day so far: %lld,가장 밝았던 날 %lld점,これまでの最高スコア：%lld点,Votre meilleur score : %lld,Sua melhor nota até agora: %lld,AI linguistic pass; human review pending,,
Your emotion is now,Your emotion is now,당신의 감정은 이제,今のあなたの気分,Votre humeur du moment,Seu humor agora,AI linguistic pass; human review pending,,
Your emotional flow is improving,Your emotional flow is improving,감정 흐름이 좋아지고 있어요,最近のスコアは上向きです,Vos scores sont en hausse,Suas notas estão subindo,AI linguistic pass; human review pending,,
Your highest score this month is %lld,Your highest score this month is %lld,이번 달 최고 점수는 %lld,今月の最高スコアは%lld点です,Votre meilleur score du mois est de %lld,Sua maior nota do mês é %lld,AI linguistic pass; human review pending,,
Your previous days will appear here,Your previous days will appear here,지난 기록이 여기에 표시됩니다,これまでの記録がここに表示されます,Vos journées précédentes apparaîtront ici,Seus dias anteriores vão aparecer aqui,AI linguistic pass; human review pending,,
YOUR RECENT DAYS,YOUR RECENT DAYS,최근 기록,最近の記録,VOS DERNIERS JOURS,SEUS ÚLTIMOS DIAS,AI linguistic pass; human review pending,,
YOUR RHYTHM,YOUR RHYTHM,나의 리듬,記録のペース,VOTRE RYTHME,SEU RITMO,AI linguistic pass; human review pending,,
Your scores are saved on this device first,Your scores are saved on this device first,기록은 먼저 이 기기에 저장돼요,スコアはまずこの端末に保存されます,Vos scores sont d’abord enregistrés sur cet appareil,Suas notas são salvas primeiro neste aparelho,AI linguistic pass; human review pending,,
개인 기록으로만 저장돼요,Saved only in your private journal,개인 기록으로만 저장돼요,自分だけの記録として保存されます,Cette entrée reste privée,Este registro fica só para você,AI linguistic pass; human review pending,,
검색,검색,,検索,Rechercher,Buscar,AI linguistic pass; human review pending,,
검색 결과가 없어요. 새 토픽을 제안해 보세요.,검색 결과가 없어요. 새 토픽을 제안해 보세요.,,見つかりませんでした。新しいトピックを提案してみましょう。,Aucun résultat. Proposez un nouveau sujet.,Nenhum resultado. Que tal sugerir um novo assunto?,AI linguistic pass; human review pending,,
검토 결과는 내 토픽 제안의 심사 알림에서 확인할 수 있어요.,검토 결과는 내 토픽 제안의 심사 알림에서 확인할 수 있어요.,,結果は「自分の提案」の審査通知で確認できます。,Le résultat sera disponible dans les notifications de Mes propositions.,O resultado estará nas notificações de Minhas sugestões.,AI linguistic pass; human review pending,,
검토 요청 보내기,검토 요청 보내기,,審査を依頼,Envoyer pour examen,Enviar para análise,AI linguistic pass; human review pending,,
"검토 후 월드에 게시돼요. 최근 24시간 2건, 검토 대기 3건까지 제안할 수 있어요.","검토 후 월드에 게시돼요. 최근 24시간 2건, 검토 대기 3건까지 제안할 수 있어요.",,審査後にワールドに掲載されます。24時間で2件、審査待ちは3件まで提案できます。,Publication dans Monde après examen. Limite : 2 propositions sur 24 heures et 3 en attente.,A publicação em Mundo acontece após análise. Limite de 2 sugestões em 24 horas e 3 aguardando análise.,AI linguistic pass; human review pending,,
게시하지 못했어요,게시하지 못했어요,,投稿できませんでした,Publication impossible,Não foi possível publicar,AI linguistic pass; human review pending,,
결과가 없어요,No results,결과가 없어요,結果がありません,Aucun résultat,Nenhum resultado,AI linguistic pass; human review pending,,
계정 및 데이터 삭제,계정 및 데이터 삭제,,アカウントとデータを削除,Supprimer le compte et les données,Excluir conta e dados,AI linguistic pass; human review pending,,
계정 삭제,계정 삭제,,アカウントを削除,Supprimer le compte,Excluir conta,AI linguistic pass; human review pending,,
계정을 삭제하시겠어요?,계정을 삭제하시겠어요?,,アカウントを削除しますか？,Supprimer votre compte ?,Excluir sua conta?,AI linguistic pass; human review pending,,
계정을 삭제하지 못했습니다,계정을 삭제하지 못했습니다,,アカウントを削除できませんでした,Impossible de supprimer le compte,Não foi possível excluir a conta,AI linguistic pass; human review pending,,
공식,공식,,公式,Officiel,Oficial,AI linguistic pass; human review pending,,
관심,관심,,関心,Intérêts,Interesses,AI linguistic pass; human review pending,,
국가별 감정 비교,Mood by country,국가별 감정 비교,国ごとの気分を比較,Comparer l’humeur par pays,Comparar o humor por país,AI linguistic pass; human review pending,,
그 날은 어땠나요?,How was that day?,그 날은 어땠나요?,その日はどんな一日でしたか？,Comment s’est passée cette journée ?,Como foi esse dia?,AI linguistic pass; human review pending,,
글로벌,Global,글로벌,グローバル,Mondial,Global,AI linguistic pass; human review pending,,
기록,Journal,기록,記録,Journal,Registros,AI linguistic pass; human review pending,,
기록 달력,기록 달력,,記録カレンダー,Calendrier du journal,Calendário de registros,AI linguistic pass; human review pending,,
"기록은 기기에 먼저 저장되고, 연결되면 계정으로 백업됩니다. 오프라인에서도 그대로 사용할 수 있어요.","기록은 기기에 먼저 저장되고, 연결되면 계정으로 백업됩니다. 오프라인에서도 그대로 사용할 수 있어요.",,記録はまず端末に保存され、接続時にアカウントへバックアップされます。オフラインでも使えます。,"Vos entrées sont d’abord enregistrées sur l’appareil, puis sauvegardées sur votre compte à la connexion. Vous pouvez aussi utiliser l’app hors ligne.",Seus registros são salvos primeiro no aparelho e copiados para sua conta quando houver conexão. Você também pode usar sem internet.,AI linguistic pass; human review pending,,
기록하지 않은 날은 평균에 포함하지 않아요,기록하지 않은 날은 평균에 포함하지 않아요,,記録のない日は平均に含まれません,Les jours sans entrée ne comptent pas dans la moyenne,Dias sem registro não entram na média,AI linguistic pass; human review pending,,
기록한 날,기록한 날,,記録した日,Jours renseignés,Dias registrados,AI linguistic pass; human review pending,,
기록한 날 기준,기록한 날 기준,,記録のある日をもとに計算,Sur les jours renseignés,Com base nos dias registrados,AI linguistic pass; human review pending,,
기록한 날들이 보여주는 나의 리듬,기록한 날들이 보여주는 나의 리듬,,記録から見える日々の変化,Vos journées au fil des entrées,Seus dias ao longo dos registros,AI linguistic pass; human review pending,,
나 %lld,Me %lld,나 %lld,自分 %lld,Moi : %lld,Eu: %lld,AI linguistic pass; human review pending,,
나만의 속도로 이어가세요,나만의 속도로 이어가세요,,自分のペースで続けましょう,Continuez à votre rythme,Continue no seu ritmo,AI linguistic pass; human review pending,,
나의 감정 기록,My emotion log,나의 감정 기록,自分の気分の記録,Mon journal d’humeur,Meu registro de humor,AI linguistic pass; human review pending,,
나의 하루 흐름,나의 하루 흐름,,日々の変化,Mes journées au fil du temps,Meus dias ao longo do tempo,AI linguistic pass; human review pending,,
날짜,날짜,,日付,Date,Data,AI linguistic pass; human review pending,,
날짜별 기록을 확인하고 수정하세요,날짜별 기록을 확인하고 수정하세요,,日付ごとに記録を確認・編集できます,Consultez et modifiez vos entrées par date,Veja e edite seus registros por data,AI linguistic pass; human review pending,,
남성,Male,남성,男性,Homme,Masculino,AI linguistic pass; human review pending,,
내 Scoor %lld,My Scoor %lld,내 Scoor %lld,自分のScoor %lld,Mon Scoor : %lld,Meu Scoor: %lld,AI linguistic pass; human review pending,,
내 제안,내 제안,,自分の提案,Mes propositions,Minhas sugestões,AI linguistic pass; human review pending,,
내 제안 확인,내 제안 확인,,自分の提案を見る,Voir mes propositions,Ver minhas sugestões,AI linguistic pass; human review pending,,
내 토픽 제안,내 토픽 제안,,自分のトピック提案,Mes propositions de sujets,Minhas sugestões de assuntos,AI linguistic pass; human review pending,,
내 프로필,내 프로필,,自分のプロフィール,Mon profil,Meu perfil,AI linguistic pass; human review pending,,
누군가를 차단하면 그 사람의 글과 댓글이 보이지 않습니다.,누군가를 차단하면 그 사람의 글과 댓글이 보이지 않습니다.,,ブロックすると、その人の投稿やコメントが表示されなくなります。,Bloquer une personne masque ses publications et ses commentaires.,"Ao bloquear alguém, as publicações e os comentários dessa pessoa deixam de aparecer.",AI linguistic pass; human review pending,,
뉴스·사건,뉴스·사건,,ニュース・出来事,Actualités,Notícias e acontecimentos,AI linguistic pass; human review pending,,
닉네임으로 남기기,닉네임으로 남기기,,ニックネームで投稿,Publier avec mon pseudo,Publicar com meu apelido,AI linguistic pass; human review pending,,
다른 감정을 보거나 직접 한 줄 남겨볼까요?,See other moods or add your own line?,다른 감정을 보거나 직접 한 줄 남겨볼까요?,ほかの気分の投稿を見たり、ひとこと残してみませんか？,Découvrez d’autres humeurs ou laissez un mot.,Veja outros humores ou deixe um comentário.,AI linguistic pass; human review pending,,
다른 카테고리도 둘러볼까요?,Browse other categories?,다른 카테고리도 둘러볼까요?,ほかのカテゴリーも見てみましょう,Découvrez d’autres catégories,Explore outras categorias,AI linguistic pass; human review pending,,
다시 매기기,Score again,다시 매기기,スコアをつけ直す,Modifier mon score,Mudar minha nota,AI linguistic pass; human review pending,,
다시 시도,Try again,다시 시도,もう一度試す,Réessayer,Tentar de novo,AI linguistic pass; human review pending,,
닫기,Done,닫기,閉じる,Fermer,Fechar,AI linguistic pass; human review pending,,
당신의 Scoor가 세계에 더해졌어요.,Your Scoor just joined the world.,당신의 Scoor가 세계에 더해졌어요.,あなたのScoorが世界のスコアに加わりました。,Votre Scoor a été ajouté au score mondial.,Seu Scoor entrou na nota do mundo.,AI linguistic pass; human review pending,,
당신의 감정도 세계의 일부에요.,Your feeling is part of the world too.,당신의 감정도 세계의 일부에요.,あなたの気分も世界の記録のひとつに。,Votre humeur rejoint celles du monde entier.,Seu humor também faz parte do mundo.,AI linguistic pass; human review pending,,
당신의 한 점수가 세계의 맥박에 더해졌어요.,Your score just joined the world's pulse.,당신의 한 점수가 세계의 맥박에 더해졌어요.,あなたのスコアが世界の集計に加わりました。,Votre score a été ajouté aux résultats mondiaux.,Sua nota entrou no resultado do mundo.,AI linguistic pass; human review pending,,
당장 위험한 상황이라면 119에 연락해 주세요.,당장 위험한 상황이라면 119에 연락해 주세요.,,差し迫った危険がある場合は、現地の緊急通報先へ連絡してください。韓国では119です。,"En cas de danger immédiat, appelez les urgences locales. En Corée du Sud : 119.","Em caso de perigo imediato, ligue para o serviço de emergência local. Na Coreia do Sul: 119.",AI linguistic pass; human review pending,,
댓글,Comments,댓글,コメント,Commentaires,Comentários,AI linguistic pass; human review pending,,
댓글 수정 중,Editing comment,댓글 수정 중,コメントを編集中,Modification du commentaire,Editando comentário,AI linguistic pass; human review pending,,
댓글 추가…,Add a comment…,댓글 추가…,コメントを追加…,Ajouter un commentaire…,Adicionar comentário…,AI linguistic pass; human review pending,,
더 보기,See more,더 보기,もっと見る,Voir plus,Ver mais,AI linguistic pass; human review pending,,
더보기,더보기,,その他,Plus,Mais,AI linguistic pass; human review pending,,
도움을 받을 수 있어요,도움을 받을 수 있어요,,相談できる窓口があります,De l’aide est disponible,Você pode buscar ajuda,AI linguistic pass; human review pending,,
돌아가기,돌아가기,,戻る,Retour,Voltar,AI linguistic pass; human review pending,,
동기화,동기화,,同期,Synchronisation,Sincronização,AI linguistic pass; human review pending,,
"되돌릴 수 없습니다. 이 기기에 저장된 모든 기록(점수, 방명록, 소셜 활동)과 로그인 정보가 영구 삭제됩니다.","되돌릴 수 없습니다. 이 기기에 저장된 모든 기록(점수, 방명록, 소셜 활동)과 로그인 정보가 영구 삭제됩니다.",,この操作は取り消せません。この端末の記録（スコア、メッセージ、交流履歴）とログイン情報は完全に削除されます。,"Cette action est irréversible. Toutes les données enregistrées sur cet appareil (scores, messages, activité sociale) et les informations de connexion seront supprimées définitivement.","Esta ação não pode ser desfeita. Todos os registros deste aparelho (notas, recados e atividades sociais) e os dados de login serão excluídos permanentemente.",AI linguistic pass; human review pending,,
뒤로가기,뒤로가기,,戻る,Retour,Voltar,AI linguistic pass; human review pending,,
로그아웃,Sign out,로그아웃,ログアウト,Se déconnecter,Sair,AI linguistic pass; human review pending,,
로그아웃 하시겠어요?,Sign out?,로그아웃 하시겠어요?,ログアウトしますか？,Vous déconnecter ?,Sair da conta?,AI linguistic pass; human review pending,,
"로그아웃하면 가입 화면으로 돌아갑니다. 기기에 저장된 기록은 유지되며, 같은 계정으로 다시 로그인하면 복원됩니다.","로그아웃하면 가입 화면으로 돌아갑니다. 기기에 저장된 기록은 유지되며, 같은 계정으로 다시 로그인하면 복원됩니다.",,ログアウトすると登録画面に戻ります。端末の記録は残り、同じアカウントでログインすると復元されます。,Vous reviendrez à l’écran d’inscription. Les entrées sur l’appareil sont conservées et seront restaurées à la reconnexion au même compte.,Você voltará para a tela de cadastro. Os registros no aparelho serão mantidos e restaurados ao entrar de novo na mesma conta.,AI linguistic pass; human review pending,,
로그아웃하면 가입 화면으로 돌아갑니다. 기기에 저장된 기록은 유지됩니다.,Signing out returns you to the sign-up screen. Records saved on this device stay.,로그아웃하면 가입 화면으로 돌아갑니다. 기기에 저장된 기록은 유지됩니다.,ログアウトすると登録画面に戻ります。端末の記録は残ります。,Vous reviendrez à l’écran d’inscription. Les entrées sur l’appareil sont conservées.,Você voltará para a tela de cadastro. Os registros no aparelho serão mantidos.,AI linguistic pass; human review pending,,
로그인 실패,로그인 실패,,ログインできませんでした,Échec de la connexion,Não foi possível entrar,AI linguistic pass; human review pending,,
로그인하면 홈에 공유할 수 있어요,Sign in to share on Home,로그인하면 홈에 공유할 수 있어요,ログインするとホームに共有できます,Connectez-vous pour partager dans Accueil,Entre para compartilhar no Início,AI linguistic pass; human review pending,,
마감된 토픽이에요,마감된 토픽이에요,,このトピックは終了しています,Ce sujet est clos,Este assunto foi encerrado,AI linguistic pass; human review pending,,
마지막 동기화,마지막 동기화,,前回の同期,Dernière synchronisation,Última sincronização,AI linguistic pass; human review pending,,
매일 새 토픽이 올라옵니다.,매일 새 토픽이 올라옵니다.,,毎日、新しいトピックが登場します。,De nouveaux sujets chaque jour.,Novos assuntos todos os dias.,AI linguistic pass; human review pending,,
미리보기,미리보기,,プレビュー,Aperçu,Prévia,AI linguistic pass; human review pending,,
미리보기 — 예시 콘텐츠입니다. 실제 커뮤니티는 온라인 서비스 출시와 함께 열려요.,미리보기 — 예시 콘텐츠입니다. 실제 커뮤니티는 온라인 서비스 출시와 함께 열려요.,,プレビュー用のサンプルです。オンラインサービス開始後にコミュニティが利用できます。,Aperçu avec du contenu d’exemple. La communauté ouvrira au lancement du service en ligne.,Prévia com conteúdo de exemplo. A comunidade será aberta com o lançamento do serviço online.,AI linguistic pass; human review pending,,
방명록,Guestbook,방명록,メッセージ帳,Livre d’or,Mural de recados,AI linguistic pass; human review pending,,
방명록에 한 줄 남겨보세요...,Leave a line in the guestbook...,방명록에 한 줄 남겨보세요...,ひとことメッセージを残す…,Laissez un mot…,Deixe um recado…,AI linguistic pass; human review pending,,
배경 설명 (10~200자),배경 설명 (10~200자),,背景の説明（10〜200文字）,Contexte (10 à 200 caractères),Contexto (10 a 200 caracteres),AI linguistic pass; human review pending,,
불러오지 못했어요,Couldn't load,불러오지 못했어요,読み込めませんでした,Chargement impossible,Não foi possível carregar,AI linguistic pass; human review pending,,
비공개,Private,비공개,非公開,Privé,Privado,AI linguistic pass; human review pending,,
비슷한 기존 토픽에 참여해 보세요,비슷한 기존 토픽에 참여해 보세요,,似ているトピックに参加してみましょう,Participez à un sujet similaire,Participe de um assunto parecido,AI linguistic pass; human review pending,,
사람 검색,Search people,사람 검색,ユーザーを検索,Rechercher des personnes,Buscar pessoas,AI linguistic pass; human review pending,,
사용자 탐색,Find people,사용자 탐색,ユーザーを探す,Découvrir des personnes,Encontrar pessoas,AI linguistic pass; human review pending,,
사용자명,Username,사용자명,ユーザー名,Nom d’utilisateur,Nome de usuário,AI linguistic pass; human review pending,,
사진 제거,Remove photo,사진 제거,写真を削除,Supprimer la photo,Remover foto,AI linguistic pass; human review pending,,
사회,Society,사회,社会,Société,Sociedade,AI linguistic pass; human review pending,,
삭제,Delete,삭제,削除,Supprimer,Excluir,AI linguistic pass; human review pending,,
삭제하기,Delete,삭제하기,削除する,Supprimer,Excluir,AI linguistic pass; human review pending,,
삭제하면 되돌릴 수 없습니다.,This can't be undone.,삭제하면 되돌릴 수 없습니다.,削除すると元に戻せません。,La suppression est irréversible.,A exclusão não pode ser desfeita.,AI linguistic pass; human review pending,,
새 제안,새 제안,,新しい提案,Nouvelle proposition,Nova sugestão,AI linguistic pass; human review pending,,
새로운 소식이 생기면 여기에서 확인하세요,새로운 소식이 생기면 여기에서 확인하세요,,新しいお知らせはここに表示されます,Les nouveautés apparaîtront ici,As novidades vão aparecer aqui,AI linguistic pass; human review pending,,
새벽,Late night,새벽,未明,Tôt le matin,Madrugada,AI linguistic pass; human review pending,,
설정 안 함,Not set,설정 안 함,未設定,Non renseigné,Não informado,AI linguistic pass; human review pending,,
성별,Gender,성별,性別,Genre,Gênero,AI linguistic pass; human review pending,,
세계가 실시간으로 감정 점수를 매기는 토픽 피드,A topic feed where the world scores emotions in real time,세계가 실시간으로 감정 점수를 매기는 토픽 피드,世界のみんながリアルタイムで気持ちをスコアにするトピックフィード,Les sujets que le monde note en temps réel,Os assuntos que o mundo avalia em tempo real,AI linguistic pass; human review pending,,
세계는 지금 이 토픽을 %lld점으로 느끼고 있어요.,The world feels this topic at %lld right now.,세계는 지금 이 토픽을 %lld점으로 느끼고 있어요.,このトピックの世界平均は%lld点です。,Le score mondial de ce sujet est de %lld.,A nota mundial deste assunto é %lld.,AI linguistic pass; human review pending,,
수정,Edit,수정,編集,Modifier,Editar,AI linguistic pass; human review pending,,
수정하기,Edit,수정하기,編集する,Modifier,Editar,AI linguistic pass; human review pending,,
스포츠,Sports,스포츠,スポーツ,Sport,Esportes,AI linguistic pass; human review pending,,
신고 사유,신고 사유,,通報の理由,Motif du signalement,Motivo da denúncia,AI linguistic pass; human review pending,,
신고는 24시간 안에 검토됩니다. 신고자 정보는 상대에게 공개되지 않습니다.,신고는 24시간 안에 검토됩니다. 신고자 정보는 상대에게 공개되지 않습니다.,,通報は24時間以内に確認します。通報者の情報は相手に公開されません。,Les signalements sont examinés sous 24 heures. Votre identité n’est pas communiquée à la personne signalée.,As denúncias são analisadas em até 24 horas. Seus dados não são mostrados à pessoa denunciada.,AI linguistic pass; human review pending,,
신고하기,신고하기,,通報する,Signaler,Denunciar,AI linguistic pass; human review pending,,
심사 알림,심사 알림,,審査のお知らせ,Résultats de l’examen,Resultado da análise,AI linguistic pass; human review pending,,
아직 %@ 알림이 없어요,아직 %@ 알림이 없어요,,「%@」の通知はまだありません,Aucune notification pour « %@ »,Nenhuma notificação de “%@”,AI linguistic pass; human review pending,,
아직 나눠진 하루가 없어요,아직 나눠진 하루가 없어요,,共有された記録はまだありません,Aucune journée partagée pour le moment,Nenhum dia compartilhado ainda,AI linguistic pass; human review pending,,
아직 댓글이 없어요.,No comments yet.,아직 댓글이 없어요.,コメントはまだありません。,Aucun commentaire pour le moment.,Ainda não há comentários.,AI linguistic pass; human review pending,,
아직 반응 없음,No reactions yet,아직 반응 없음,まだ反応がありません,Aucune réaction,Nenhuma reação ainda,AI linguistic pass; human review pending,,
아직 반응이 없어요. 첫 Scoor를 남겨주세요.,No reactions yet. Be the first to Scoor.,아직 반응이 없어요. 첫 Scoor를 남겨주세요.,まだスコアがありません。最初のスコアをつけてみましょう。,Aucun score pour le moment. Donnez le premier.,Ainda não há notas. Que tal dar a primeira?,AI linguistic pass; human review pending,,
아직 방명록이 없어요. 첫 글을 남겨보세요!,No guestbook entries yet. Be the first!,아직 방명록이 없어요. 첫 글을 남겨보세요!,まだメッセージがありません。最初のひとことをどうぞ！,Aucun message pour le moment. Laissez le premier !,Ainda não há recados. Deixe o primeiro!,AI linguistic pass; human review pending,,
아직 알림이 없어요,아직 알림이 없어요,,通知はまだありません,Aucune notification pour le moment,Nenhuma notificação ainda,AI linguistic pass; human review pending,,
아직 이 감정의 글이 없어요.,No posts with this mood yet.,아직 이 감정의 글이 없어요.,この気分の投稿はまだありません。,Aucune publication avec cette humeur.,Ainda não há publicações com esse humor.,AI linguistic pass; human review pending,,
아직 이 기간의 기록이 없어요,아직 이 기간의 기록이 없어요,,この期間の記録はまだありません,Aucune entrée sur cette période,Nenhum registro neste período,AI linguistic pass; human review pending,,
아직 이 토픽에 대한 이야기가 없어요,아직 이 토픽에 대한 이야기가 없어요,,このトピックのコメントはまだありません,Aucune discussion sur ce sujet pour le moment,Ninguém comentou sobre este assunto ainda,AI linguistic pass; human review pending,,
아직 점수 매긴 토픽이 없어요,No topics scored yet,아직 점수 매긴 토픽이 없어요,スコアをつけたトピックはまだありません,Aucun sujet noté pour le moment,Você ainda não avaliou nenhum assunto,AI linguistic pass; human review pending,,
알림,Activity,알림,通知,Activité,Atividade,AI linguistic pass; human review pending,,
업데이트,Update,업데이트,更新,Mettre à jour,Atualizar,AI linguistic pass; human review pending,,
여성,Female,여성,女性,Femme,Feminino,AI linguistic pass; human review pending,,
연속,Streak,연속,連続,Série,Sequência,AI linguistic pass; human review pending,,
연애,Love,연애,恋愛,Relations amoureuses,Relacionamentos,AI linguistic pass; human review pending,,
연예,Entertainment,연예,エンタメ,Divertissement,Entretenimento,AI linguistic pass; human review pending,,
예: 주 4일 재택근무 도입에 찬성하나요?,예: 주 4일 재택근무 도입에 찬성하나요?,,例：週4日の在宅勤務に賛成ですか？,Ex. : êtes-vous pour quatre jours de télétravail par semaine ?,Ex.: você é a favor de quatro dias de trabalho remoto por semana?,AI linguistic pass; human review pending,,
오늘,Today,오늘,今日,Aujourd’hui,Hoje,AI linguistic pass; human review pending,,
오늘 기록하기,오늘 기록하기,,今日を記録する,Noter ma journée,Registrar hoje,AI linguistic pass; human review pending,,
오늘 하루는 어땠나요?,How was your day today?,오늘 하루는 어땠나요?,今日はどんな一日でしたか？,Comment s’est passée votre journée ?,Como foi seu dia hoje?,AI linguistic pass; human review pending,,
오늘의 감정을 한 줄로...,Sum up today's mood in one line...,오늘의 감정을 한 줄로...,今日の気分をひとことで…,Votre humeur du jour en quelques mots…,Seu humor de hoje em poucas palavras…,AI linguistic pass; human review pending,,
오늘의 기록,Today's entries,오늘의 기록,今日の記録,Entrée du jour,Registro de hoje,AI linguistic pass; human review pending,,
오늘의 점수와 한 줄 수정,Edit your score and note,오늘의 점수와 한 줄 수정,今日のスコアとメモを編集,Modifier le score et la note du jour,Editar a nota e a anotação de hoje,AI linguistic pass; human review pending,,
오늘의 점수와 한 줄로 이야기를 시작해보세요,오늘의 점수와 한 줄로 이야기를 시작해보세요,,今日のスコアとひとことを残してみましょう,Commencez par un score et quelques mots,Comece com uma nota e algumas palavras,AI linguistic pass; human review pending,,
완료,완료,,完了,Terminé,Concluir,AI linguistic pass; human review pending,,
월드 피드를 불러오지 못했어요,Couldn't load the world feed,월드 피드를 불러오지 못했어요,ワールドのフィードを読み込めませんでした,Impossible de charger le fil Monde,Não foi possível carregar o feed de Mundo,AI linguistic pass; human review pending,,
의견·논의,의견·논의,,意見・議論,Opinions et débats,Opiniões e debates,AI linguistic pass; human review pending,,
이 기간의 가장 높은 하루 · %lld점,이 기간의 가장 높은 하루 · %lld점,,この期間で最高の日 · %lld点,Meilleur jour de la période · %lld pts,Melhor dia do período · %lld pts,AI linguistic pass; human review pending,,
이 날의 점수를 삭제할까요?,Delete this day's score?,이 날의 점수를 삭제할까요?,この日のスコアを削除しますか？,Supprimer le score de ce jour ?,Excluir a nota deste dia?,AI linguistic pass; human review pending,,
이 사용자의 글 더 이상 보지 않기,이 사용자의 글 더 이상 보지 않기,,この人の投稿を表示しない,Masquer les publications de cette personne,Ocultar publicações desta pessoa,AI linguistic pass; human review pending,,
이 채널엔 아직 글이 없어요.,No posts in this channel yet.,이 채널엔 아직 글이 없어요.,このチャンネルにはまだ投稿がありません。,Aucune publication dans ce canal.,Ainda não há publicações neste canal.,AI linguistic pass; human review pending,,
이 카테고리엔 아직 토픽이 없어요.,이 카테고리엔 아직 토픽이 없어요.,,このカテゴリーにはまだトピックがありません。,Aucun sujet dans cette catégorie.,Ainda não há assuntos nesta categoria.,AI linguistic pass; human review pending,,
이 토픽에 대한 한 줄 감정,Your one-line feeling on this topic,이 토픽에 대한 한 줄 감정,このトピックへのひとこと,Votre ressenti sur ce sujet en quelques mots,Seu sentimento sobre este assunto em poucas palavras,AI linguistic pass; human review pending,,
이메일,Email,이메일,メールアドレス,E-mail,E-mail,AI linguistic pass; human review pending,,
이번 달,This month,이번 달,今月,Ce mois-ci,Este mês,AI linguistic pass; human review pending,,
이번 달 대표 감정,이번 달 대표 감정,,今月によく見られた気分,Humeur dominante du mois,Humor mais frequente do mês,AI linguistic pass; human review pending,,
"이번 달 대표 감정 %@, %lld일","이번 달 대표 감정 %1$@, %2$lld일",,今月によく見られた気分：%1$@、%2$lld日,"Humeur dominante : %1$@, sur %2$lld jours","Humor mais frequente: %1$@, em %2$lld dias",AI linguistic pass; human review pending,,
이번 달 평균,This month's average,이번 달 평균,今月の平均,Moyenne du mois,Média deste mês,AI linguistic pass; human review pending,,
이유를 입력하면 선택할 수 있어요,Add a note to enable sharing,이유를 입력하면 선택할 수 있어요,メモを入力すると共有できます,Ajoutez une note pour activer le partage,Adicione uma anotação para compartilhar,AI linguistic pass; human review pending,,
이전 %lld일 대비 %@%lld점,이전 %1$lld일 대비 %2$@%3$lld점,,前の%1$lld日間と比べて%2$@%3$lld点,Par rapport aux %1$lld jours précédents : %2$@%3$lld points,Em relação aos %1$lld dias anteriores: %2$@%3$lld pontos,AI linguistic pass; human review pending,,
익명,Anonymous,익명,匿名,Anonyme,Anônimo,AI linguistic pass; human review pending,,
익명으로 남기기,익명으로 남기기,,匿名で投稿,Publier anonymement,Publicar anonimamente,AI linguistic pass; human review pending,,
일반인 신상·외모 품평·개인 공격·혐오·광고는 올릴 수 없어요.,일반인 신상·외모 품평·개인 공격·혐오·광고는 올릴 수 없어요.,,一般の方の個人情報、容姿への評価、個人攻撃、差別表現、広告は投稿できません。,"Les informations privées, jugements sur l’apparence, attaques personnelles, propos haineux et publicités sont interdits.","Não publique dados pessoais de pessoas comuns, avaliações de aparência, ataques pessoais, discurso de ódio ou propaganda.",AI linguistic pass; human review pending,,
입력 완료,입력 완료,,入力を完了,Terminer la saisie,Concluir digitação,AI linguistic pass; human review pending,,
"자살예방 상담전화 **109** — 24시간, 무료","자살예방 상담전화 **109** — 24시간, 무료",,韓国の自殺予防相談 **109** — 24時間・無料,"Prévention du suicide en Corée du Sud : **109**, gratuit, 24 h/24","Prevenção do suicídio na Coreia do Sul: **109**, gratuito, 24 horas",AI linguistic pass; human review pending,,
